Nama,Judul,Abstrak,Tahun
"Dhini, Pia Nur",SISTEM INFORMASI PENJUALAN MOBIL PADA SHOWROOM R&amp;R AUTO BERBASIS WEB DENGAN METODE EXTREME PROGRAMMING.,"Penelitian yang dilakukan pada tahun 2022 ini berfokus pada topik SISTEM INFORMASI PENJUALAN MOBIL PADA SHOWROOM R&amp;R AUTO BERBASIS WEB DENGAN METODE EXTREME PROGRAMMING. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan EXTREME PROGRAMMING. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2022
"EGI, JENIE LUTFIAH",SISTEM INFORMASI PELAYANAN PUBLIK DI KELURAHAN 11 ILIR KOTA PALEMBANG MENGGUNAKAN METODE EXTREME PROGRAMMING.,"Penelitian yang dilakukan pada tahun 2025 ini berfokus pada topik SISTEM INFORMASI PELAYANAN PUBLIK DI KELURAHAN 11 ILIR KOTA PALEMBANG MENGGUNAKAN METODE EXTREME PROGRAMMING. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE EXTREME PROGRAMMING. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2025
"EPILIA, EPILIA",SISTEM INFORMASI KHS DAN KRS ONLINE PADA UNIVERSITAS ISLAM OKI.,"Penelitian yang dilakukan pada tahun 2021 ini berfokus pada topik SISTEM INFORMASI KHS DAN KRS ONLINE PADA UNIVERSITAS ISLAM OKI. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2021
"Edi Kurniawan, Edi Kurniawan",Sistem Informasi Electronic Office (e-office) Pada Bagian Kesejahteraan Rakyat (KESRA) Kota Palembang.,"Penelitian yang dilakukan pada tahun 2019 ini berfokus pada topik Sistem Informasi Electronic Office (e-office) Pada Bagian Kesejahteraan Rakyat (KESRA) Kota Palembang. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2019
"Elvira, Ragil Prima",SISTEM INFORMASI MANAJEMEN KETERSEDIAN STOK DARAH PADA RUMAH SAKIT UMUM DAERAH SUNGAI LILIN.,"Penelitian yang dilakukan pada tahun 2023 ini berfokus pada topik SISTEM INFORMASI MANAJEMEN KETERSEDIAN STOK DARAH PADA RUMAH SAKIT UMUM DAERAH SUNGAI LILIN. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2023
"Erlinda, Erlin",ANALISIS KEBERHASILAN SLIMS (SENAYAN LIBRARY MANAGEMENT SYSTEM) MENGGUNAKAN HOT FIT MODEL.,"Penelitian yang dilakukan pada tahun 2024 ini berfokus pada topik ANALISIS KEBERHASILAN SLIMS (SENAYAN LIBRARY MANAGEMENT SYSTEM) MENGGUNAKAN HOT FIT MODEL. Urgensi dari penelitian ini didasarkan pada pentingnya analisis dan evaluasi mendalam untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan HOT FIT MODEL. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2024
"FAJRI, UBAY",SISTEM PREDIKSI KELULUSAN SISWA SEKOLAH OLAHRAGA NEGERI SRIWIJAYA (SONS) DALAM MENGIKUTI SELEKSI ATLET  MENGGUNAKAN SUPPORT VECTOR MACHINE.,"Penelitian yang dilakukan pada tahun 2025 ini berfokus pada topik SISTEM PREDIKSI KELULUSAN SISWA SEKOLAH OLAHRAGA NEGERI SRIWIJAYA (SONS) DALAM MENGIKUTI SELEKSI ATLET  MENGGUNAKAN SUPPORT VECTOR MACHINE. Urgensi dari penelitian ini didasarkan pada pentingnya penerapan teknik data mining dan machine learning untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan SUPPORT VECTOR MACHINE. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2025
"FATAH, ANANDA ASA ABDUL",SISTEM INFORMASI E-LEGALISIR PADA UIN RADEN FATAH  PALEMBANG DENGAN MENGGUNAKAN METODE  RAPID APPLICATION DEVELOPMENT.,"Penelitian yang dilakukan pada tahun 2024 ini berfokus pada topik SISTEM INFORMASI E-LEGALISIR PADA UIN RADEN FATAH  PALEMBANG DENGAN MENGGUNAKAN METODE  RAPID APPLICATION DEVELOPMENT. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE  RAPID APPLICATION DEVELOPMENT. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2024
"FATAH, ANANDA ASA ABDUL",SISTEM INFORMASI E-LEGALISIR PADA UIN RADEN FATAH  PALEMBANG DENGAN MENGGUNAKAN METODE  RAPID APPLICATION DEVELOPMENT.,"Penelitian yang dilakukan pada tahun 2024 ini berfokus pada topik SISTEM INFORMASI E-LEGALISIR PADA UIN RADEN FATAH  PALEMBANG DENGAN MENGGUNAKAN METODE  RAPID APPLICATION DEVELOPMENT. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE  RAPID APPLICATION DEVELOPMENT. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2024
"FATMAWATI, FATMAWATI",ANALISIS PENERIMAAN WEBSITE STMIK PRABUMULIH  MENGGUNAKAN MODEL GABUNGAN TAM DAN TPB.,"Penelitian yang dilakukan pada tahun 2019 ini berfokus pada topik ANALISIS PENERIMAAN WEBSITE STMIK PRABUMULIH  MENGGUNAKAN MODEL GABUNGAN TAM DAN TPB. Urgensi dari penelitian ini didasarkan pada pentingnya analisis dan evaluasi mendalam untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan MODEL GABUNGAN TAM DAN TPB. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2019
"FATTARSYAH, SULTAN DAFFA",ANALISIS KESUKSESAN SENAYAN LIBRARY MANAGEMENT SYSTEM (SLIMS) DI PERPUSTAKAAN SMA NEGERI SUMATERA SELATAN MENGGUNAKAN MODEL DELONE &amp; MCLEAN.,"Penelitian yang dilakukan pada tahun 2025 ini berfokus pada topik ANALISIS KESUKSESAN SENAYAN LIBRARY MANAGEMENT SYSTEM (SLIMS) DI PERPUSTAKAAN SMA NEGERI SUMATERA SELATAN MENGGUNAKAN MODEL DELONE &amp; MCLEAN. Urgensi dari penelitian ini didasarkan pada pentingnya analisis dan evaluasi mendalam untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan MODEL DELONE. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2025
"FATURROHMAN, NUR",SISTEM INFORMASI PENYEWAAN DAN SIMPAN PINJAM UPJA  BERBASIS WEB.,"Penelitian yang dilakukan pada tahun 2019 ini berfokus pada topik SISTEM INFORMASI PENYEWAAN DAN SIMPAN PINJAM UPJA  BERBASIS WEB. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2019
"FEBRIANA, FEBRIANA",ANALISIS USABILITY PADA APLIKASI ABSENSI SUBUH (SI ABUH) MENGGUNAKAN METODE SYSTEM USABILITY SCALE.,"Penelitian yang dilakukan pada tahun 2022 ini berfokus pada topik ANALISIS USABILITY PADA APLIKASI ABSENSI SUBUH (SI ABUH) MENGGUNAKAN METODE SYSTEM USABILITY SCALE. Urgensi dari penelitian ini didasarkan pada pentingnya analisis dan evaluasi mendalam untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE SYSTEM USABILITY SCALE. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2022
"FIRIAL, MUHAMMAD FARHAN",PENGEMBANGAN STARTUP ISYARATIN MENGGUNAKAN PENDEKATAN LEAN STARTUP.,"Penelitian yang dilakukan pada tahun 2023 ini berfokus pada topik PENGEMBANGAN STARTUP ISYARATIN MENGGUNAKAN PENDEKATAN LEAN STARTUP. Urgensi dari penelitian ini didasarkan pada pentingnya penerapan teknologi informasi dan komunikasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan PENDEKATAN LEAN STARTUP. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2023
